"vanus";"pikkus";"kaal";"sugu"
"472";0,280969728575252;59,5;6;"N"
"475";0,494819818139488;64;7,1;"N"
"476";0,452023214771299;61;6,5;"N"
"477";0,40676834844882;59,5;6,1;"N"
"479";0,0792222111623065;54,9;4,6;"N"
"480";0,151735915317491;52,6;4,4;"N"
"481";0,722678162214262;68,5;8,1;"N"
"482";0,7812603859615;69;8,1;"N"
"483";0,86249775261077;70;8,5;"N"
"485";0,570919960975028;65,5;7,5;"N"
"486";0,0559004967147686;55;4,4;"N"
"487";0,201029062755445;58;5,8;"N"
"488";0,365295023934018;61,1;6,1;"N"
"489";0,312136550704114;64;6,6;"N"
"490";0,572431161535167;66,5;8,3;"N"
"491";0,565311746220048;67;8,3;"N"
"492";0,692156283044424;69,5;8,5;"N"
"493";0,747446999324875;71;10;"N"
"494";1,01177414916024;73;10,2;"N"
"495";0,995470485040889;78,5;10,5;"N"
"496";1,31226646120777;79;11,2;"N"
"498";1,87290336581017;84;12,2;"N"
"499";0,27082685439256;62;5,9;"M"
"500";0,217463526312649;61;6;"M"
"501";0,0911641432681655;55,9;5;"M"
"503";0,0973778199510768;52,5;3,9;"N"
"504";0,217798173775794;55;4,9;"N"
"505";0,266613893665618;57;5,1;"N"
"506";0,305520277962536;61;6,2;"N"
"509";0,614659742014262;65;8,5;"N"
"510";0,635664706815258;67;9,3;"N"
"512";0,808841162625427;70;8,8;"N"
"513";1,04224377980750;76;10,4;"N"
"514";1,45502857480440;77;10,2;"N"
"515";1,83624596520057;82,5;12,6;"N"
"517";1,25494257209083;81;12,5;"M"
"520";0,389063135065575;67;8,7;"M"
"521";0,123365692458078;60;5,3;"M"
"522";0,187665576240383;52,1;3;"N"
"523";0,139177795719375;55;4,1;"N"
"524";0,107328358782335;56,9;5,1;"N"
"525";0,331364390902772;61,5;7;"N"
"526";0,460934109053322;67;8,1;"N"
"527";0,725900967017058;70;7,9;"N"
"528";0,732111848197001;71,5;9,4;"N"
"529";0,816797167519253;73;9,1;"N"
"531";1,28178604088578;81;12,1;"N"
"532";1,58429127952498;83,5;12,4;"N"
"533";1,72482243496276;87;12,5;"N"
"534";1,97376071221188;89;13,3;"N"
"536";1,87959378641842;84;14,5;"M"
"537";1,38044517532277;80,5;12,6;"M"
"538";0,994475963210468;79,5;10,8;"M"
"540";0,520841041935818;73;9,4;"M"
"541";0,451115345748854;71,5;9,1;"M"
"542";0,401924563647465;65,5;7,8;"M"
"543";0,406247177031672;65;6,3;"M"
"544";0,295611705570476;61,5;5,9;"M"
"545";0,134712118632655;57;3,8;"M"
"546";0,148169132615647;54;4,1;"M"
"547";1,70063801437358;85;12,4;"M"
"548";1,39869072079544;81;11,5;"M"
"550";0,529634377877822;67;7,7;"M"
"552";0,215844182079734;55;4,4;"M"
"553";0,0411;49,9;3,1;"M"
"554";0,0411;55;3,7;"N"
"555";0,355697776831198;66;6,4;"N"
"556";0,527518175859929;72;7,2;"N"
"557";0,877113225365001;77,5;9,2;"N"
"558";1,10590871709725;79;9,7;"N"
"559";1,16423047144069;84;10,9;"N"
"560";0,293830288242202;68,9;6,4;"N"
